date,ren_share_daily_avg
2023-01-01,85.1
2023-01-02,66.3
2023-01-03,47.9
2023-01-04,86.0
2023-01-05,63.4
2023-01-06,63.8
2023-01-07,66.5
2023-01-08,69.5
2023-01-09,51.1
2023-01-10,53.8
2023-01-11,65.5
2023-01-12,80.4
2023-01-13,81.8
2023-01-14,89.1
2023-01-15,92.8
2023-01-16,59.9
2023-01-17,51.1
2023-01-18,37.9
2023-01-19,46.4
2023-01-20,21.3
2023-01-21,39.0
2023-01-22,35.4
2023-01-23,21.6
2023-01-24,19.4
2023-01-25,20.2
2023-01-26,22.5
2023-01-27,26.8
2023-01-28,24.6
2023-01-29,55.7
2023-01-30,67.8
2023-01-31,67.3
2023-02-01,76.7
2023-02-02,55.8
2023-02-03,76.4
2023-02-04,35.1
2023-02-05,39.7
2023-02-06,23.1
2023-02-07,29.6
2023-02-08,39.7
2023-02-09,49.1
2023-02-10,52.0
2023-02-11,62.6
2023-02-12,29.3
2023-02-13,24.4
2023-02-14,23.5
2023-02-15,29.7
2023-02-16,48.8
2023-02-17,80.0
2023-02-18,76.6
2023-02-19,58.8
2023-02-20,83.5
2023-02-21,48.5
2023-02-22,30.1
2023-02-23,29.3
2023-02-24,57.6
2023-02-25,71.5
2023-02-26,55.8
2023-02-27,34.7
2023-02-28,35.2
2023-03-01,36.9
2023-03-02,34.6
2023-03-03,35.4
2023-03-04,56.8
2023-03-05,46.6
2023-03-06,35.1
2023-03-07,63.2
2023-03-08,29.5
2023-03-09,36.6
2023-03-10,60.0
2023-03-11,58.7
2023-03-12,61.8
2023-03-13,82.6
2023-03-14,74.5
2023-03-15,50.4
2023-03-16,63.1
2023-03-17,58.1
2023-03-18,48.0
2023-03-19,42.7
2023-03-20,38.1
2023-03-21,42.0
2023-03-22,71.1
2023-03-23,68.5
2023-03-24,74.2
2023-03-25,92.9
2023-03-26,65.6
2023-03-27,68.3
2023-03-28,51.0
2023-03-29,42.9
2023-03-30,72.5
2023-03-31,55.3
2023-04-01,78.8
2023-04-02,72.6
2023-04-03,50.4
2023-04-04,38.3
2023-04-05,35.0
2023-04-06,49.1
2023-04-07,57.0
2023-04-08,33.9
2023-04-09,49.3
2023-04-10,92.3
2023-04-11,73.6
2023-04-12,57.6
2023-04-13,60.0
2023-04-14,37.5
2023-04-15,51.2
2023-04-16,40.6
2023-04-17,41.9
2023-04-18,54.6
2023-04-19,66.4
2023-04-20,54.7
2023-04-21,71.9
2023-04-22,73.8
2023-04-23,59.5
2023-04-24,71.2
2023-04-25,60.4
2023-04-26,54.0
2023-04-27,42.0
2023-04-28,43.3
2023-04-29,53.8
2023-04-30,59.1
2023-05-01,54.7
2023-05-02,52.9
2023-05-03,45.5
2023-05-04,55.5
2023-05-05,62.0
2023-05-06,55.2
